,3.0 months,6.0 months,1 year,3 years,5 years,Max
ROI,0.9735000406995085,0.9730404687069404,1.0563651163712697,1.0308154658144613,1.2913066924783358,1.3717603449553624
MDD,-0.05666481809296895,-0.0668674722045385,-0.08390567596059408,-0.11790304738742154,-0.16947038886166016,-0.1785158930098798
SR,66.18400636104327,75.48059119167313,31.010784506711445,18.52678743344593,9.916978523066701,5.95243210877242
