,3.0 months,6.0 months,1 year,3 years,5 years,10 years,Max
ROI,0.9894751293429243,0.994708372291441,1.0341404520354918,1.0404761007583774,1.1251783712825691,1.4874914870507496,1.296973975225825
MDD,-0.04072916981596948,-0.0502642097307246,-0.0502642097307246,-0.08634629500118862,-0.14735524866685681,-0.14735524866685681,-0.3661809205115823
SR,85.29273846446445,102.19368335324143,47.959238774170494,36.6208194948749,14.877703879513232,9.533399471935311,6.960689906203219
