Date,Commodities,Gov Bonds,International,Property,UK
26/08/2011,0.988981029,1.005325759,0.980952381,0.990940331,0.986011503
29/08/2011,1,1,1,1,1
30/08/2011,1.041465656,0.994702455,1.029126214,1.03678016,1.024197033
31/08/2011,1.015109739,0.998816498,1.009433962,1.011352118,1.009070454
01/09/2011,1.007931334,1.000592452,1.009345794,1.013229104,1.016932618
02/09/2011,0.986094643,1.002960507,1,0.981602374,1.003014938
05/09/2011,0.972780936,1.014758841,0.981481481,0.976823861,0.978480667
06/09/2011,0.999550511,0.994764093,0.990566038,0.996595832,0.995392027
07/09/2011,1.028892636,1,1.00952381,1.024842149,1.012555236
08/09/2011,1.015625,1.002924148,1.009433962,1.014038986,1.008104738
09/09/2011,0.991393222,1.001166249,1,0.989940239,0.991410706
12/09/2011,0.955615844,1.008794921,0.971962617,0.963275983,0.97428611
13/09/2011,1.003293209,1.000577367,1,1.005431377,0.992601551
14/09/2011,1.024108659,0.997691864,1.019230769,1.005817577,1.009675339
15/09/2011,1.012157383,0.991266628,1.009433962,1.007023342,1.020868825
16/09/2011,1.008407949,1,1.009345794,1.014153846,1.007300793
19/09/2011,0.980075799,1.00939378,1,0.991605987,0.990198109
20/09/2011,1.006960557,1.000578035,1.009259259,1,1.002370164
21/09/2011,0.98825982,0.995898325,1,0.999286079,1.015926003
22/09/2011,0.939491507,1.007599049,0.981651376,0.952643397,0.969468784
23/09/2011,0.965138265,1.004605642,0.981308411,0.98928648,0.994068634
26/09/2011,1.004040651,0.993696275,1.00952381,1.005306476,1.00781361
27/09/2011,1.030121951,0.99071511,1.018867925,1.017128084,1.013603045
28/09/2011,1.005682491,1,1.009259259,1.003389112,1.006049649
29/09/2011,0.966921719,1.004074742,0.981651376,0.991239181,0.990876417
30/09/2011,0.984295106,1,1,0.995740603,0.991071429
03/10/2011,0.984662956,1.007594643,0.990654206,0.987167148,0.982052365
04/10/2011,0.96432609,1.016685846,0.981132075,0.978117214,0.992403067
05/10/2011,1.035430507,0.990945105,1.009615385,1.015616347,1.006066296
06/10/2011,1.049691785,0.998857796,1.019047619,1.015812432,1.010767353
07/10/2011,1.007070949,0.999428245,1.009345794,1.007836822,1.010865706
10/10/2011,1.006664287,0.997139588,0.990740741,0.990519813,1.008219756
11/10/2011,1.00827521,0.993689042,1.018691589,1.019464459,1.010661278
12/10/2011,1.020166491,0.993013857,1,0.997046414,1.010341975
13/10/2011,0.998505919,1.004709576,1.009174312,1.014917478,1.00818889
14/10/2011,1.008632597,0.998784722,1,0.999270301,1.005279545
17/10/2011,1.016775077,1.00295498,1,1.017108283,1.010638298
18/10/2011,0.97295174,1.004621606,0.990909091,0.973230769,0.978014657
19/10/2011,1.017303034,0.999424957,1.009174312,1.019496259,1.010081744
20/10/2011,0.985826057,1.00287687,1,0.989559644,0.991839763
21/10/2011,0.995514148,0.995410212,1,0.99780633,1.002719793
24/10/2011,1.021143847,1.000576369,1.018181818,1.021880235,1.012612735
25/10/2011,1.016859018,0.995391705,1,1.0103473,1.006093886
26/10/2011,0.987537554,1.01099537,0.982142857,0.987325086,0.993410543
27/10/2011,1.046985915,0.994848311,1.009090909,1.032145425,1.019296482
28/10/2011,1.002798106,0.991887227,1.009009009,1.016915423,1.011371853
