,3.0 months,6.0 months,1 year,3 years,5 years,Max
ROI,0.835852341081813,0.8826739810950545,0.8995308964052681,0.9816481238402698,1.1736506713460308,1.5136072842615722
MDD,-0.2669242075994595,-0.2669242075994595,-0.2669242075994595,-0.2669242075994595,-0.2669242075994595,-0.2669242075994595
SR,-0.1440773630412513,-0.06651196755932848,-0.03583867369634902,0.00011872399578794194,0.021456735630651872,0.035161233768417836
