,3.0 months,6.0 months,1 year,3 years,5 years,Max
ROI,0.9308215915561572,0.964122198463624,0.9669204219020794,0.9353515242163236,1.095793165616771,1.3443740966836881
MDD,-0.08621200595234536,-0.08621200595234536,-0.0919638412856143,-0.11737381056730872,-0.11737381056730872,-0.11737381056730872
SR,-0.19711534723161336,-0.05826623133066764,-0.024985126463200166,-0.019473909455981372,0.01838610453259143,0.036355223377693986
