Date,Bonds - Global Governments,Bonds - UK Corporate,Bonds - UK Government All Stocks,Bonds - UK Government Long Duration,Commodities - Gold,Commodities - Natural Resources,Equities - Emerging Markets,Equities - Global Large Cap,Equities - Global Small Cap,Equities - UK Large Cap,Equities - UK Mid Cap,Property
27/06/2011,0.999032882,1.000959693,1.001848543,0.999814195,0.981270903,0.989350703,0.997413793,0.994904668,0.999757635,1,1,0.996226415
28/06/2011,1.001936108,0.996164909,0.995694692,0.986898346,1.006816633,1.009300867,1.008643042,1.010242855,1.013010101,1.007246377,1,1.005681818
29/06/2011,0.995169082,0.991337825,0.990116746,0.993880049,1.01760325,1.026920688,1.01285347,1.006704824,1.010848756,1.021582734,1.022727273,1.011299435
30/06/2011,1.004854369,1.005825243,1.004990954,0.997631679,1.010645376,1.009276064,1.010152284,1.020955166,1.01010101,1,1.007407407,1.008379888
01/07/2011,0.997101449,0.997104247,0.995654603,0.999240338,1.000658328,1.007992008,1.004187605,0.995704057,1.011796875,1.021126761,1.007352941,1.001846722
04/07/2011,0.995155039,1.000968054,1.00062348,1.002850898,0.996052632,1.004955401,1.009174312,1.01550016,1,1.006896552,1.01459854,1.010138249
05/07/2011,0.99707887,1.001934236,1.001246184,1.002084715,0.995376486,0.998027613,1,0.990401259,1.001389854,1,1,1
06/07/2011,1.00390625,1.002895753,1.003733898,1.00643026,1.01459854,1.006916996,1,1.002542104,1.008250443,0.993150685,1,1.008211679
07/07/2011,1,1,1,0.995020201,1.014388489,1.004906771,1.000826446,1.015847861,1.009253594,1.006896552,1,1.00361991
08/07/2011,0.998054475,1,1,1.011425873,1.008381689,1.010742188,1.008257638,0.989079563,0.989921952,1.006849315,1.007194245,1.009918846
11/07/2011,1.005847953,1.006737247,1.009300019,1.008869387,0.990409207,0.985507246,0.982800983,0.992113565,0.987063686,0.979591837,0.978571429,0.986607143
12/07/2011,1.011627907,1.003824092,1.006757172,1.001203035,0.991607489,0.984313725,0.983333333,0.993004769,0.993640946,0.979166667,0.97810219,0.990045249
13/07/2011,0.995210728,0.994285714,0.993288181,0.992235881,1.03125,1.010956175,1.001694915,0.993595901,1.000624366,1.007092199,1.014925373,1.006398537
14/07/2011,0.992300289,1,1.000614288,1.002421984,1.017045455,0.99408867,0.995769882,0.999516597,0.98658451,1,0.992647059,0.982742961
15/07/2011,0.999030068,1,1.000613911,1.004460552,1.00248293,0.993062438,0.996601529,0.992906658,1.002371729,0.992957746,1,0.993530499
18/07/2011,0.999029126,1.002873563,1.004294742,1.005273383,1.00619195,1.000998004,0.99488491,0.993992531,0.991955202,1,0.985185185,1
19/07/2011,1.000971817,0.99713467,0.997556357,0.997883306,1.020307692,1.003988036,1.000856898,1.004737014,1.008030532,0.992907801,1,1.000930233
20/07/2011,1.000970874,0.999042146,0.999387593,0.998339943,0.98854041,1.011916584,1.007705479,1.003901805,1.004574854,1.014285714,1.007518797,1.010223048
21/07/2011,0.996120272,1.000958773,1.000612783,0.990762125,1.000610128,0.99313052,0.993203059,1.007449393,1.000628141,0.992957746,1,0.998160074
22/07/2011,0.99902629,0.998084291,0.993875926,1.00951049,0.992682927,1.01284585,1.009409752,0.998553287,1.004708098,1.021276596,1.014925373,1.006451613
25/07/2011,1.001949318,1.007677543,1.008626533,1.008866722,1.011056511,0.996097561,0.994915254,1.001609788,0.994454858,0.993055556,0.992647059,0.996336996
26/07/2011,0.994163424,0.999047619,0.999389089,0.995422503,0.994532199,1.001958864,1.003407155,0.994214079,0.992303463,1,1.007407407,0.997242647
27/07/2011,1.003913894,1.000953289,1.001222569,1.00487446,1.004886988,0.997067449,1.000848896,0.992240543,0.981321725,1,0.992647059,1.000921659
28/07/2011,1,1.002857143,1.003663227,0.998169504,0.982978723,0.981372549,0.991518236,0.992016944,0.994031777,0.986013986,0.985185185,0.986187845
29/07/2011,1.003898635,1.001899335,1.001824929,1.012011737,0.993197279,0.993306693,0.993156544,0.985383478,0.992129817,1,1.007518797,0.998132586
01/08/2011,0.999029126,1.000947867,1.001214403,1.002446317,0.99003736,1.005129237,1.01205857,1.012166667,1,1.014184397,1,1.009354537
02/08/2011,1.003887269,1.003787879,1.005458184,1.000632683,0.996855346,0.979087452,0.988085106,0.986991602,0.9760386,0.972027972,0.970149254,0.983317887
03/08/2011,1,1.001886792,1.003619036,1.010568151,1.011987382,0.978640777,0.97588286,0.973473473,0.988856305,0.992805755,0.984615385,0.973609802
04/08/2011,0.990319458,1.001883239,1.003605986,1.008044333,0.996259352,0.978174603,0.986760812,0.981148243,0.951787833,0.971014493,0.96875,0.983543078
05/08/2011,1.010752688,1,1.002994191,1.001507359,0.961827284,0.953026583,0.955277281,0.963668122,0.974539304,0.962686567,0.959677419,0.960531496
08/08/2011,1,1,1.001194101,0.999645861,0.975276513,0.964825809,0.969101124,0.977886533,0.936603636,0.976744186,0.966386555,0.956860334
09/08/2011,1.007736944,0.996240602,1,0.988043575,0.995997332,0.969813073,0.952753623,0.982020389,1.047010631,0.968253968,0.982608696,0.96101949
10/08/2011,1.014395393,0.998113208,0.998210985,1.020885622,1.040187542,1.050401054,1.044518811,1.011325028,0.982394038,1.049180328,1.044247788,1.060285269
11/08/2011,1.002838221,1.001890359,1.007766294,0.995434191,1.02704443,0.988488717,0.99223301,0.988428518,1.030153613,0.9609375,0.974576271,0.992117709
12/08/2011,0.99245283,0.994339623,0.995850376,0.992061392,0.998119122,1.022137669,1.004892368,1.03021148,1.006811487,1.032520325,1.026086957,1.017266949
15/08/2011,0.998098859,1.000948767,1,0.999822175,0.999371859,1.017033277,1.016553067,1.012280059,1.017553483,1.023622047,1.016949153,1.010205144
16/08/2011,0.998095238,0.999052133,0.998809453,0.993597154,1.003771213,0.988908607,0.997126437,0.994206047,0.986522911,0.992307692,0.991666667,1.004329451
17/08/2011,1,1.003795066,1.005363848,1.018974313,1.008140263,1.007178107,1.002881844,1.004188672,0.992622951,1.007751938,1,1.006466181
18/08/2011,1,1.008506616,1.010077657,1.025208608,0.99378882,0.975278396,0.982758621,0.963003264,0.956142765,0.976923077,0.983193277,0.97919641
19/08/2011,0.999045802,0.998125586,1.001173778,0.994259767,0.98375,0.951701302,0.962962963,0.977966102,0.979080702,0.952755906,0.948717949,0.962820246
22/08/2011,1.00191022,0.997183099,0.997068996,1.00344679,1.036213469,1.021235753,1.012145749,1.004814173,1.005488582,1.033057851,1.036036036,1.007030827
23/08/2011,0.999046711,0.998116761,1.001175848,0.997681408,1.021459227,1.000352444,1.009,0.996167114,1.02514865,1.008,0.991304348,1.007411386
24/08/2011,1,0.996226415,0.998238299,0.991823033,0.972388956,1.003992954,0.993062438,1.028857253,1.014357707,0.992063492,1,0.99818744
25/08/2011,1.001908397,0.994318182,0.994117301,1.007029419,0.991975309,1.027605568,1.01497006,1.007479432,0.99456318,1.016,1.01754386,1.025742363
26/08/2011,1.005714286,1.002857143,1.005325759,0.998879697,1.013067828,0.988844622,0.993117011,0.987564959,1.018190386,0.976377953,0.99137931,0.990940331
29/08/2011,1,1,1,1,1,1,1,1,1.022864019,1,1,1
30/08/2011,1,0.99620133,0.994702455,0.996031404,1.020884521,1.041441234,1.036633663,1.038526593,1.014841629,1.032258065,1.017391304,1.03678016
31/08/2011,1.004734848,1,0.998816498,0.979038545,1.021058965,1.015032607,1.014326648,1.017372421,1.00882825,1.015625,1.025641026,1.011352118
01/09/2011,0.998114986,1.000953289,1.000592452,1.013005397,1.002357101,1.007949472,1.015065913,1.001778726,0.994607973,1.007692308,1.008333333,1.013229104
02/09/2011,1.001888574,1.001904762,1.002960507,1.010043668,1.006466784,0.985955056,0.993506494,0.977450284,0.972715962,1,0.991735537,0.981602374
05/09/2011,1.005655042,1.010456274,1.014758841,1.020665802,1.011682243,0.972824896,0.975723623,0.985831063,1,0.961832061,0.966666667,0.976823861
06/09/2011,1.000937207,0.99247413,0.994764093,0.996780752,1.002309469,0.99943681,0.997129187,0.98618021,0.988213796,1,1.00862069,0.996595832
